Id,Name,Abstract,Structure,Description
CWE-943,Improper Neutralization of Special Elements in Data Query Logic,Class,Simple,"The application generates a query intended to access or manipulate data in a data store such as a database, but it does not neutralize or incorrectly neutralizes special elements that can modify the intended logic of the query."
CWE-564,SQL Injection: Hibernate,Variant,Simple,Using Hibernate to execute a dynamic SQL statement built with user-controlled input can allow an attacker to modify the statement's meaning or to execute arbitrary SQL commands.
CWE-456,Missing Initialization of a Variable,Variant,Simple,"The software does not initialize critical variables, which causes the execution environment to use unexpected values."
CWE-74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,Simple,"The software constructs all or part of a command, data structure, or record using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify how it is parsed or interpreted when it is sent to a downstream component."
CWE-1019,Validate Inputs,,,Category
CWE-77,Improper Neutralization of Special Elements used in a Command ('Command Injection'),Class,Simple,"The software constructs all or part of a command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended command when it is sent to a downstream component."
CWE-88,Argument Injection or Modification,Base,Simple,"The software does not sufficiently delimit the arguments being passed to a component in another control sphere, allowing alternate arguments to be provided, leading to potentially security-relevant changes."
CWE-184,Incomplete Blacklist,Base,Simple,"An application uses a ""blacklist"" of prohibited values, but the blacklist is incomplete."
CWE-119,Improper Restriction of Operations within the Bounds of a Memory Buffer,Class,Simple,"The software performs operations on a memory buffer, but it can read from or write to a memory location that is outside of the intended boundary of the buffer."
CWE-20,Improper Input Validation,Class,Simple,The product does not validate or incorrectly validates input that can affect the control flow or data flow of a program.
CWE-785,Use of Path Manipulation Function without Maximum-sized Buffer,Variant,Simple,"The software invokes a function for normalizing paths or file names, but it provides an output buffer that is smaller than the maximum possible size, such as PATH_MAX."
CWE-170,Improper Null Termination,Base,Simple,The software does not terminate or incorrectly terminates a string or array with a null character or equivalent terminator.
CWE-231,Improper Handling of Extra Values,Variant,Simple,The software does not handle or incorrectly handles when more values are provided than expected.
CWE-416,Use After Free,Variant,Simple,"Referencing memory after it has been freed can cause a program to crash, use unexpected values, or execute code."
CWE-123,Write-what-where Condition,Base,Simple,"Any condition where the attacker has the ability to write an arbitrary value to an arbitrary location, often as the result of a buffer overflow."
CWE-80,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),Variant,Simple,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special characters such as ""<"", "">"", and ""&"" that could be interpreted as web-scripting elements when they are sent to a downstream component that processes web pages."
CWE-81,Improper Neutralization of Script in an Error Message Web Page,Variant,Simple,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special characters that could be interpreted as web-scripting elements when they are sent to an error page."
CWE-83,Improper Neutralization of Script in Attributes in a Web Page,Variant,Simple,"The software does not neutralize or incorrectly neutralizes ""javascript:"" or other URIs from dangerous attributes within tags, such as onmouseover, onload, onerror, or style."
CWE-84,Improper Neutralization of Encoded URI Schemes in a Web Page,Variant,Simple,The web application improperly neutralizes user-controlled input for executable script disguised with URI encodings.
CWE-85,Doubled Character XSS Manipulations,Variant,Simple,The web application does not filter user-controlled input for executable script disguised using doubling of the involved characters.
CWE-86,Improper Neutralization of Invalid Characters in Identifiers in Web Pages,Variant,Simple,"The software does not neutralize or incorrectly neutralizes invalid characters or byte sequences in the middle of tag names, URI schemes, and other identifiers."
CWE-87,Improper Neutralization of Alternate XSS Syntax,Variant,Simple,The software does not neutralize or incorrectly neutralizes user-controlled input for alternate script syntax.
CWE-692,Incomplete Blacklist to Cross-Site Scripting,Compound,Chain,"The product uses a blacklist-based protection mechanism to defend against XSS attacks, but the blacklist is incomplete, allowing XSS variants to succeed."
CWE-352,Cross-Site Request Forgery (CSRF),Compound,Composite,"The web application does not, or can not, sufficiently verify whether a well-formed, valid, consistent request was intentionally provided by the user who submitted the request."
CWE-494,Download of Code Without Integrity Check,Base,Simple,The product downloads source code or an executable from a remote location and executes the code without sufficiently verifying the origin and integrity of the code.
CWE-113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting'),Base,Simple,"The software receives data from an upstream component, but does not neutralize or incorrectly neutralizes CR and LF characters before the data is included in outgoing HTTP headers."
CWE-184,Incomplete Blacklist,Base,Simple,"An application uses a ""blacklist"" of prohibited values, but the blacklist is incomplete."
CWE-442,Web Problems,,,Category
CWE-287,Improper Authentication,Class,Simple,"When an actor claims to have a given identity, the software does not prove or insufficiently proves that the claim is correct."
CWE-1010,Authenticate Actors,,,Category
CWE-285,Improper Authorization,Class,Simple,The software does not perform or incorrectly performs an authorization check when an actor attempts to access a resource or perform an action.
CWE-425,Direct Request ('Forced Browsing'),Base,Simple,"The web application does not adequately enforce appropriate authorization on all restricted URLs, scripts, or files."
CWE-638,Not Using Complete Mediation,Class,Simple,"The software does not perform access checks on a resource every time the resource is accessed by an entity, which can create resultant weaknesses if that entity's rights or privileges change over time."
CWE-939,Improper Authorization in Handler for Custom URL Scheme,Base,Simple,"The software uses a handler for a custom URL scheme, but it does not properly restrict which actors can invoke the handler using the scheme."
CWE-1011,Authorize Actors,,,Category
CWE-344,Use of Invariant Value in Dynamically Changing Context,Base,Simple,"The product uses a constant value, name, or reference, but this value can (or should) vary across different environments."
CWE-671,Lack of Administrator Control over Security,Class,Simple,The product uses security features in a way that prevents the product's administrator from tailoring security settings to reflect the environment in which the product is being used. This introduces resultant weaknesses or prevents it from operating at a level of security that is desired by the administrator.
CWE-287,Improper Authentication,Class,Simple,"When an actor claims to have a given identity, the software does not prove or insufficiently proves that the claim is correct."
CWE-259,Use of Hard-coded Password,Base,Simple,"The software contains a hard-coded password, which it uses for its own inbound authentication or for outbound communication to external components."
CWE-321,Use of Hard-coded Cryptographic Key,Base,Simple,The use of a hard-coded cryptographic key significantly increases the possibility that encrypted data may be recovered.
CWE-257,Storing Passwords in a Recoverable Format,Base,Simple,"The storage of passwords in a recoverable format makes them subject to password reuse attacks by malicious users. In fact, it should be noted that recoverable encrypted passwords provide no significant benefit over plaintext passwords since they are subject not only to reuse by malicious attackers but also by malicious insiders. If a system administrator can recover a password directly, or use a brute force search on the available information, the administrator can use the password on other accounts."
CWE-255,Credentials Management,,,Category
CWE-693,Protection Mechanism Failure,Class,Simple,The product does not use or incorrectly uses a protection mechanism that provides sufficient defense against directed attacks against the product.
CWE-312,Cleartext Storage of Sensitive Information,Base,Simple,The application stores sensitive information in cleartext within a resource that might be accessible to another control sphere.
CWE-319,Cleartext Transmission of Sensitive Information,Base,Simple,The software transmits sensitive or security-critical data in cleartext in a communication channel that can be sniffed by unauthorized actors.
CWE-614,Sensitive Cookie in HTTPS Session Without 'Secure' Attribute,Variant,Simple,"The Secure attribute for sensitive cookies in HTTPS sessions is not set, which could cause the user agent to send those cookies in plaintext over an HTTP session."
CWE-327,Use of a Broken or Risky Cryptographic Algorithm,Class,Simple,The use of a broken or risky cryptographic algorithm is an unnecessary risk that may result in the exposure of sensitive information.
CWE-1013,Encrypt Data,,,Category
CWE-310,Cryptographic Issues,,,Category
CWE-669,Incorrect Resource Transfer Between Spheres,Class,Simple,"The product does not properly transfer a resource/behavior to another sphere, or improperly imports a resource/behavior from another sphere, in a manner that provides unintended control over that resource."
CWE-351,Insufficient Type Distinction,Base,Simple,The software does not properly distinguish between different types of elements in a way that leads to insecure behavior.
CWE-436,Interpretation Conflict,Class,Simple,"Product A handles inputs or steps differently than Product B, which causes A to perform incorrect actions based on its perception of B's state."
CWE-430,Deployment of Wrong Handler,Base,Simple,"The wrong ""handler"" is assigned to process an object."
